cd_apcac;short_pt;short_en;description_pt;description_en;color_r;color_g;color_b;color_rgb
IAR;Natural / Extrema / Alto Risco;Natural / Extreme / High Risk;Predominância natural, importância hidrológica extremamente alta, alto risco de perda de serviços ecossistêmicos;Natural predominance, extremely high hydrological importance, high ecosystem service loss risk;85;0;0;"85,0,0"
IBR;Natural / Muito Alta / Alto Risco;Natural / Very High / High Risk;Predominância natural, importância hidrológica muito alta, alto risco de perda de serviços ecossistêmicos;Natural predominance, very high hydrological importance, high ecosystem service loss risk;128;0;0;"128,0,0"
ICR;Natural / Alta / Alto Risco;Natural / High / High Risk;Predominância natural, importância hidrológica alta, alto risco de perda de serviços ecossistêmicos;Natural predominance, high hydrological importance, high ecosystem service loss risk;212;0;0;"212,0,0"
IXR;Natural / Regular / Alto Risco;Natural / Regular / High Risk;Predominância natural, importância hidrológica regular, alto risco de perda de serviços ecossistêmicos;Natural predominance, regular hydrological importance, high ecosystem service loss risk;255;128;128;"255,128,128"
IA;Natural / Extrema;Natural / Extreme;Predominância natural, importância hidrológica extremamente alta;Natural predominance, extremely high hydrological importance;28;73;66;"28,73,66"
IB;Natural / Muito Alta;Natural / Very High;Predominância natural, importância hidrológica muito alta;Natural predominance, very high hydrological importance;36;130;72;"36,130,72"
IC;Natural / Alta;Natural / High;Predominância natural, importância hidrológica alta;Natural predominance, high hydrological importance;81;162;76;"81,162,76"
IX;Natural / Regular;Natural / Regular;Predominância natural, importância hidrológica regular;Natural predominance, regular hydrological importance;168;200;165;"168,200,165"
IIAR;Antrópica / Extrema / Alto Risco;Anthropic / Extreme / High Risk;Predominância antrópica, importância hidrológica extremamente alta, alto risco de perda de serviços ecossistêmicos;Anthropic predominance, extremely high hydrological importance, high ecosystem service loss risk;68;0;85;"68,0,85"
IIBR;Antrópica / Muito Alta / Alto Risco;Anthropic / Very High / High Risk;Predominância antrópica, importância hidrológica muito alta, alto risco de perda de serviços ecossistêmicos;Anthropic predominance, very high hydrological importance, high ecosystem service loss risk;136;0;170;"136,0,170"
IICR;Antrópica / Alta / Alto Risco;Anthropic / High / High Risk;Predominância antrópica, importância hidrológica alta, alto risco de perda de serviços ecossistêmicos;Anthropic predominance, high hydrological importance, high ecosystem service loss risk;224;92;255;"224,92,255"
IIXR;Antrópica / Regular / Alto Risco;Anthropic / Regular / High Risk;Predominância antrópica, importância hidrológica regular, alto risco de perda de serviços ecossistêmicos;Anthropic predominance, regular hydrological importance, high ecosystem service loss risk;212;171;222;"212,171,222"
IIA;Antrópica / Extrema;Anthropic / Extreme;Predominância antrópica, importância hidrológica extremamente alta;Anthropic predominance, extremely high hydrological importance;31;58;112;"31,58,112"
IIB;Antrópica / Muito Alta;Anthropic / Very High;Predominância antrópica, importância hidrológica muito alta;Anthropic predominance, very high hydrological importance;55;110;160;"55,110,160"
IIC;Antrópica / Alta;Anthropic / High;Predominância antrópica, importância hidrológica alta;Anthropic predominance, high hydrological importance;69;142;160;"69,142,160"
IIX;Antrópica / Regular;Anthropic / Regular;Predominância antrópica, importância hidrológica regular;Anthropic predominance, regular hydrological importance;142;196;196;"142,196,196"
IIAC;Antrópica / Extrema / Déficit Hídrico;Anthropic / Extreme / Water Deficit;Predominância antrópica, importância hidrológica extremamente alta, risco de déficit hídrico;Anthropic predominance, extremely high hydrological importance, water deficit risk;255;148;0;"255,148,0"
IIBC;Antrópica / Muito Alta / Déficit Hídrico;Anthropic / Very High / Water Deficit;Predominância antrópica, importância hidrológica muito alta, risco de déficit hídrico;Anthropic predominance, very high hydrological importance, water deficit risk;255;167;0;"255,167,0"
IICC;Antrópica / Alta / Déficit Hídrico;Anthropic / High / Water Deficit;Predominância antrópica, importância hidrológica alta, risco de déficit hídrico;Anthropic predominance, high hydrological importance, water deficit risk;255;186;0;"255,186,0"
XC;Mista / Regular / Déficit Hídrico;Mixed / Regular / Water Deficit;Predominância mista, importância hidrológica regular, risco de déficit hídrico;Mixed predominance, regular hydrological importance, water deficit risk;255;221;129;"255,221,129"
